"Id","confidence(false)","confidence(true)","Predicted"
5895,0.0,1.0,"true"
7122,0.20018515263223474,0.7998148473677653,"true"
6173,0.20496841345341366,0.7950315865465863,"true"
6142,0.40467763783711247,0.5953223621628875,"true"
5358,0.19697749331110895,0.8030225066888911,"true"
6095,0.19976571356140876,0.8002342864385913,"true"
6878,0.39322962713960125,0.6067703728603988,"true"
6554,0.20621714583398162,0.7937828541660183,"true"
6793,0.0,0.9999999999999999,"true"
7286,0.19531707746083904,0.804682922539161,"true"
6076,0.0,1.0,"true"
5134,0.0,1.0,"true"
5419,0.0,1.0,"true"
6255,0.20592062299580827,0.7940793770041917,"true"
5656,0.2009098074318949,0.7990901925681051,"true"
6934,0.0,0.9999999999999999,"true"
6028,0.39310714414134146,0.6068928558586585,"true"
6490,0.19939345243039647,0.8006065475696036,"true"
6415,0.4022483908494299,0.5977516091505701,"true"
7087,0.0,1.0,"true"
5420,0.19723198113108706,0.8027680188689129,"true"
5977,0.20203692457504235,0.7979630754249576,"true"
6824,0.19738228087427828,0.8026177191257217,"true"
5207,0.39856542030803443,0.6014345796919656,"true"
7115,0.0,0.9999999999999999,"true"
7250,0.0,1.0,"true"
6010,0.0,1.0,"true"
6088,0.0,1.0,"true"
5682,0.20098263556336754,0.7990173644366325,"true"
7201,0.19581785675108881,0.8041821432489111,"true"
6938,0.0,0.9999999999999999,"true"
6875,0.0,1.0,"true"
5953,0.19678745002743586,0.8032125499725641,"true"
5942,0.0,1.0,"true"
5382,0.0,1.0,"true"
6377,0.0,1.0,"true"
5931,0.20169491973980594,0.7983050802601941,"true"
5992,0.19806914225110087,0.801930857748899,"true"
5790,0.0,1.0,"true"
6753,0.19734030788151244,0.8026596921184875,"true"
6562,0.0,1.0,"true"
7046,0.0,0.9999999999999999,"true"
5868,0.0,1.0,"true"
5784,0.0,1.0,"true"
5878,0.19869335264653826,0.8013066473534618,"true"
5110,0.19692348364093631,0.8030765163590636,"true"
5210,0.19845304854287363,0.8015469514571264,"true"
7230,0.0,1.0,"true"
5005,0.20532073341718576,0.7946792665828143,"true"
6871,0.0,0.9999999999999998,"true"
5363,0.4116415040080059,0.5883584959919941,"true"
7253,0.19880325718629596,0.8011967428137041,"true"
6055,0.19680018210120834,0.8031998178987916,"true"
5072,0.0,1.0,"true"
6913,0.20291630550615472,0.7970836944938452,"true"
6386,0.1974696940276532,0.8025303059723468,"true"
5634,0.0,1.0,"true"
5758,0.39867277594680794,0.601327224053192,"true"
6819,0.0,1.0,"true"
7088,0.1932800184400512,0.8067199815599488,"true"
5039,0.19956776822427336,0.8004322317757268,"true"
5532,0.205345254190645,0.794654745809355,"true"
6037,0.0,1.0,"true"
6322,0.19816361859162446,0.8018363814083755,"true"
6887,0.0,1.0,"true"
6660,0.397907043740883,0.602092956259117,"true"
5451,0.0,1.0,"true"
6014,0.0,1.0,"true"
5556,0.19323702269088375,0.8067629773091163,"true"
6346,0.2033072832270442,0.7966927167729558,"true"
5850,0.0,0.9999999999999999,"true"
5940,0.19367861069483028,0.8063213893051697,"true"
7119,0.0,1.0,"true"
5253,0.197208063955558,0.802791936044442,"true"
6851,0.20051303936181747,0.7994869606381825,"true"
6695,0.2047130595407436,0.7952869404592564,"true"
6908,0.0,1.0,"true"
7255,0.39674442122119663,0.6032555787788034,"true"
5674,0.19915630058649533,0.8008436994135046,"true"
6278,0.0,1.0,"true"
5486,0.38780893970988334,0.6121910602901166,"true"
5174,0.21316953078069342,0.7868304692193065,"true"
6621,0.0,1.0,"true"
6313,0.0,1.0,"true"
6435,0.4124973900042801,0.5875026099957199,"true"
6970,0.4099233525691053,0.5900766474308947,"true"
6310,0.5974811013051022,0.40251889869489776,"false"
5932,0.5962288417706141,0.40377115822938603,"false"
6877,0.40690784949880565,0.5930921505011943,"true"
6763,0.0,1.0,"true"
7085,0.4013775458651798,0.5986224541348202,"true"
7049,0.19935737259682956,0.8006426274031704,"true"
6959,0.19942726131455377,0.8005727386854462,"true"
5214,0.1962427056885007,0.8037572943114993,"true"
6350,0.4124315464260257,0.5875684535739742,"true"
5063,0.0,1.0,"true"
5041,0.0,0.9999999999999999,"true"
5086,0.39761466596532513,0.6023853340346749,"true"
