Id,Predicted
5895,3
7122,3
6173,3
6142,3
5358,3
6095,3
6878,3
6554,3
6793,3
7286,3
6076,3
5134,3
5419,3
6255,3
5656,3
6934,3
6028,3
6490,3
6415,3
7087,3
5420,3
5977,3
6824,3
5207,3
7115,3
7250,3
6010,3
6088,3
5682,3
7201,3
6938,3
6875,3
5953,3
5942,3
5382,3
6377,3
5931,3
5992,3
5790,3
6753,3
6562,3
7046,3
5868,3
5784,3
5878,3
5110,3
5210,3
7230,3
5005,3
6871,3
5363,3
7253,3
6055,3
5072,3
6913,3
6386,3
5634,3
5758,3
6819,3
7088,3
5039,3
5532,3
6037,3
6322,3
6887,3
6660,3
5451,3
6014,3
5556,3
6346,3
5850,3
5940,3
7119,3
5253,3
6851,3
6695,3
6908,3
7255,3
5674,3
6278,3
5486,3
5174,3
6621,3
6313,3
6435,3
6970,3
6310,3
5932,3
6877,3
6763,3
7085,3
7049,3
6959,3
5214,3
6350,3
5063,3
5041,3
5086,3
6942,3
5270,3
6705,3
7051,3
6758,3
6249,3
5808,3
5377,3
5446,3
5856,3
4986,3
7001,3
6677,3
6665,3
5817,3
6984,3
6541,3
5117,3
6097,3
5389,3
7219,3
6338,3
6922,3
5367,3
5638,3
5830,3
5338,3
6007,3
6612,3
5718,3
6104,3
5229,3
6625,3
5206,3
5963,3
4990,3
6641,3
5369,3
6196,3
5236,3
5719,3
5643,3
7050,3
6355,3
6688,3
6239,3
5531,3
6113,3
7181,3
6118,3
7264,3
5343,3
5051,3
5779,3
6605,3
6655,3
6534,3
5681,3
6607,3
6242,3
7242,3
7277,3
6675,3
5398,3
5956,3
5731,3
6956,3
6437,3
5447,3
5973,3
6075,3
5281,3
5103,3
6468,3
7209,3
5584,3
4988,3
6502,3
5651,3
4962,3
5862,3
7199,3
6727,3
7279,3
6544,3
5933,3
6574,3
6399,3
7187,3
6353,3
5043,3
5469,3
5976,3
6059,3
5799,3
6147,3
6254,3
7100,3
7147,3
5909,3
7037,3
5782,3
6237,3
6552,3
7067,3
5320,3
5930,3
6486,3
5245,3
6643,3
5260,3
5569,3
7110,3
7139,3
6791,3
5360,3
5287,3
6553,3
7072,3
6044,3
5332,3
6866,3
6633,3
6926,3
6442,3
5889,3
5765,3
5124,3
5491,3
6730,3
7151,3
5140,3
7171,3
6568,3
6861,3
6855,3
7129,3
5384,3
6859,3
5772,3
5665,3
6495,3
5061,3
6948,3
5773,3
6052,3
6682,3
6083,3
6962,3
5158,3
6464,3
5172,3
5582,3
6136,3
6235,3
6508,3
4968,3
6632,3
7195,3
5525,3
6320,3
6766,3
6872,3
5906,3
7172,3
6571,3
5616,3
6312,3
6470,3
5147,3
5501,3
6436,3
5699,3
5313,3
6234,3
6569,3
7202,3
5683,3
5034,3
5435,3
5815,3
5589,3
6746,3
6790,3
6857,3
6450,3
7221,3
5527,3
5620,3
6215,3
7167,3
5823,3
6207,3
6932,3
5669,3
5154,3
7168,3
5585,3
7200,3
6539,3
5774,3
6357,3
5042,3
5015,3
5354,3
6054,3
7295,3
5365,3
6755,3
5991,3
7035,3
5893,3
7164,3
5304,3
5561,3
5520,3
5241,3
7096,3
6078,3
5046,3
5334,3
6969,3
6821,3
5760,3
5614,3
7091,3
5698,3
5169,3
7294,3
5318,3
5368,3
6923,3
5463,3
5265,3
6321,3
5226,3
6868,3
4967,3
5293,3
5865,3
5841,3
5526,3
6852,3
6469,3
6168,3
7292,3
5036,3
5644,3
6856,3
5428,3
5027,3
4989,3
5221,3
6402,3
5346,3
6748,3
